pair_index,sequence_a,sequence_b,label_a,label_b,composite_pct,rank_a_to_b,rank_b_to_a,decision,confidence,rationale
1,notflip__0025,notflip__0026,notflip,notflip,0.001694915254237288,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
2,notflip__0044,notflip__0048,notflip,notflip,0.0017391304347826088,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
3,flip__0024,flip__0033,flip,flip,0.0031982313927781873,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
4,notflip__0046,notflip__0057,notflip,notflip,0.005747973470891673,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
5,flip__0012,flip__0022,flip,flip,0.00576271186440678,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
6,notflip__0023,notflip__0024,notflip,notflip,0.006757553426676492,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
7,notflip__0047,notflip__0049,notflip,notflip,0.007789240972733973,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
8,flip__0052,flip__0056,flip,flip,0.007877671333824613,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
9,notflip__0042,notflip__0045,notflip,notflip,0.008142962417096536,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
10,flip__0028,notflip__0019,flip,notflip,0.008901989683124542,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
11,flip__0028,flip__0029,flip,flip,0.009263080324244657,2,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
12,notflip__0044,notflip__0049,notflip,notflip,0.010117907148120855,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
13,flip__0065,notflip__0058,flip,notflip,0.010346352247605013,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
14,notflip__0045,notflip__0047,notflip,notflip,0.010427413411938098,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
15,notflip__0024,notflip__0025,notflip,notflip,0.010641120117907148,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
16,notflip__0044,notflip__0047,notflip,notflip,0.011503316138540899,3,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
17,flip__0018,flip__0019,flip,flip,0.012652910832719234,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
18,flip__0012,flip__0013,flip,flip,0.01339719970523213,2,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
19,notflip__0055,notflip__0058,notflip,notflip,0.013684598378776712,1,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
20,flip__0029,notflip__0019,flip,notflip,0.014907885040530582,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
21,notflip__0042,notflip__0049,notflip,notflip,0.015298452468680914,3,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
22,notflip__0019,notflip__0020,notflip,notflip,0.015666912306558586,3,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
23,notflip__0046,notflip__0048,notflip,notflip,0.016551215917464997,3,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
24,flip__0037,notflip__0029,flip,notflip,0.016742815033161385,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
25,notflip__0004,notflip__0005,notflip,notflip,0.01709653647752395,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
26,flip__0026,flip__0027,flip,flip,0.01836403831982314,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
27,flip__0035,flip__0046,flip,flip,0.018909358879882092,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
28,flip__0036,notflip__0028,flip,notflip,0.019874723655121593,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
29,flip__0016,flip__0019,flip,flip,0.02079587324981577,1,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
30,flip__0028,notflip__0020,flip,notflip,0.02111274871039057,3,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
31,notflip__0038,notflip__0040,notflip,notflip,0.021127487103905676,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
32,flip__0065,notflip__0055,flip,notflip,0.021282240235814296,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
33,notflip__0029,notflip__0040,notflip,notflip,0.022269712601326454,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
34,flip__0035,flip__0037,flip,flip,0.02261606484893147,2,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
35,flip__0031,notflip__0023,flip,notflip,0.022918201915991157,1,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
36,flip__0020,flip__0021,flip,flip,0.023448784082535007,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
37,notflip__0029,notflip__0038,notflip,notflip,0.023566691230655856,3,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
38,flip__0043,flip__0046,flip,flip,0.024016212232866617,1,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
39,flip__0045,flip__0046,flip,flip,0.024148857774502576,1,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
40,notflip__0024,notflip__0026,notflip,notflip,0.02431834929992631,3,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
41,flip__0035,flip__0043,flip,flip,0.024495210022107586,3,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
42,flip__0024,flip__0032,flip,flip,0.02604274134119381,2,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
43,flip__0003,flip__0005,flip,flip,0.02741341193809875,1,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
44,flip__0023,flip__0026,flip,flip,0.028084008843036107,1,2,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
45,flip__0037,notflip__0038,flip,notflip,0.0283861459100958,3,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
46,notflip__0023,notflip__0025,notflip,notflip,0.028953574060427412,3,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
47,notflip__0028,notflip__0032,notflip,notflip,0.029130434782608697,2,1,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
48,flip__0029,notflip__0020,flip,notflip,0.02971997052321297,3,3,MERGE,high,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
49,notflip__0005,notflip__0008,notflip,notflip,0.030206337509211492,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
50,flip__0051,flip__0055,flip,flip,0.030287398673544585,1,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
51,flip__0043,flip__0045,flip,flip,0.03127487103905675,3,2,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
52,flip__0025,flip__0033,flip,flip,0.03218128224023581,1,2,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
53,flip__0049,flip__0057,flip,flip,0.03296978629329403,1,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
54,flip__0025,flip__0031,flip,flip,0.0341930729550479,2,3,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
55,flip__0032,flip__0033,flip,flip,0.03445099484156227,2,3,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
56,flip__0036,flip__0039,flip,flip,0.03470891672807665,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
57,flip__0061,flip__0062,flip,flip,0.03526160648489315,1,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
58,flip__0016,flip__0017,flip,flip,0.03577008106116433,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
59,flip__0053,flip__0055,flip,flip,0.03630803242446574,1,2,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
60,notflip__0035,notflip__0037,notflip,notflip,0.03642593957258659,1,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
61,notflip__0034,notflip__0035,notflip,notflip,0.036912306558585115,1,2,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
62,flip__0056,flip__0057,flip,flip,0.03795136330140015,2,2,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
63,flip__0005,flip__0008,flip,flip,0.03800294767870303,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
64,notflip__0053,notflip__0055,notflip,notflip,0.03845246868091378,1,3,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
65,flip__0019,flip__0021,flip,flip,0.03847457627118644,3,2,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
66,flip__0050,flip__0058,flip,flip,0.039425202652910836,1,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
67,flip__0051,flip__0054,flip,flip,0.0396683861459101,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
68,flip__0054,flip__0059,flip,flip,0.04024318349299927,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
69,flip__0003,notflip__0001,flip,notflip,0.04172439204126751,2,1,MERGE,medium,Visual review: physical book/layout, background, camera framing and hand setup are consistent across sampled frames.
